rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
17327	16533	7621	17300	9673	13779	14050	19754	12940	20463
17328	10973	17189	24494	13601	22390	24931	27395	15777	42041
17329	17544	20784	25574	24352	8054	8274	38644	14173	3610
17330	15527	43408	25604	25242	44474	44450	32399	43762	22216
17331	6799	12149	25426	21385	10269	11105	38229	7799	35294
17332	19430	17111	24945	16513	27738	27129	20931	19746	35002
17333	13290	10994	25723	27737	4703	4664	27941	7230	28580
17334	11679	13682	28750	5753	27167	27263	42976	25294	6672
17335	6834	9653	25286	18783	5503	6038	42971	3599	42986
17336	16688	5402	13886	12278	2554	2445	14120	5979	14302
17337	9604	26664	30297	34709	32163	31968	33078	20943	22358
17338	14594	17654	23959	38712	8465	8441	25233	14536	4526
17339	18034	9429	18102	14121	9178	8828	18042	7078	41132
17340	11824	27361	28980	22089	19606	19595	40534	23613	3899
17341	11819	35369	21367	26929	28649	28138	18961	32652	30425
17342	20281	11801	15812	34468	10052	9640	14211	8314	16384
17343	14111	11019	18519	10608	26366	26660	18570	19013	25524
17344	13410	8475	14806	15874	11887	11745	16138	7342	24886
17345	21080	37766	13594	38766	31898	31596	13326	35498	23554
17346	18559	41213	29296	25149	35851	35151	31834	40164	7643
17347	15044	5617	15844	4731	15739	16480	16900	10121	36980
17348	28145	38633	23237	44311	35684	35216	24083	38357	24912
17349	6893	11668	31239	43352	8387	6337	23471	14657	44366
17350	7838	13818	24942	16482	22933	21971	26393	10760	26949
17351	18637	30500	19265	39206	38066	37917	19579	29283	24839
17352	6894	39698	35466	39764	38836	39017	37553	36533	42779
17353	10234	37272	24114	43331	16992	26525	23970	37521	27363
17354	20264	16433	11978	30637	13544	13072	11627	17218	20995
17355	16027	7883	11911	9463	8594	9358	11693	6727	5108
17356	13557	23357	29902	30901	16270	16985	37918	18032	13510
17357	6888	22535	35370	39321	17698	19604	41930	18448	16151
17358	21437	12302	12373	21940	5065	5712	10583	5047	15879
17359	6839	29927	28617	11565	32482	32259	34775	29767	15572
17360	15216	36201	29571	27730	36639	36394	39837	36368	16075
17361	28195	34856	32212	22395	35984	35687	43055	35081	42136
17362	12633	34368	26162	36391	29160	29620	31795	34486	40245
17363	20323	16454	22211	15796	14082	13973	25556	15832	1412
17364	10300	6167	31749	5757	9529	9894	44742	5037	12366
17365	10307	11612	27096	13274	9832	10990	26737	8051	30933
17366	15488	17483	15581	27705	19022	19188	14498	15032	7352
17367	14319	38181	28652	18907	29664	29589	43917	32144	33607
17368	14805	39952	14257	33007	40277	40284	15207	38626	23057
17369	21270	38632	30729	16750	40508	40318	25026	40336	12623
17370	14984	5629	14469	5116	4356	4446	12590	4562	323
17371	14715	16754	16844	15658	34745	35296	16587	20926	7282
17372	21012	24632	13208	40742	14694	14483	11800	19625	147
17373	13799	14264	13115	8354	25764	25625	10802	17138	38664
17374	14873	35174	24601	29210	30254	29989	21092	33764	11555
17375	15867	7607	14097	5038	19742	19491	14680	7957	40856
17376	19552	36742	17729	43805	42115	41975	20060	40159	30173
17377	28525	19414	31317	44166	29014	25813	41521	32247	30956
17378	15898	28537	32432	23448	26084	26809	44977	25001	7577
17379	9611	26940	35284	38826	28173	28002	38127	20467	17554
17380	6899	19590	34632	35274	21276	21503	41577	18390	20872
17381	15922	9527	16882	10891	14952	15772	18262	8758	1462
17382	9607	16840	31762	20043	8070	10231	42530	10636	27125
17383	13380	19218	23396	12520	15795	16065	25640	24689	28949
17384	15777	22229	23583	28241	10828	10614	24853	19073	23152
17385	9529	36389	35006	37297	36001	35639	44216	37319	34337
17386	16169	25807	25019	16993	21114	20727	22230	30207	16029
17387	19387	34494	18592	42272	39339	38877	20736	35954	21787
17388	24319	37327	25869	30194	35181	35451	38908	32844	33769
17389	16263	36883	25803	29351	28641	28937	27648	37834	31182
17390	6801	27863	22397	42535	30707	31496	20908	26764	19530
17391	8528	34939	22450	44940	27949	27557	20492	32527	11327
17392	12970	15697	26007	32999	16762	16614	26768	14214	28839
17393	6883	15627	27469	29962	16592	17092	31082	8002	4343
17394	17063	15461	28273	17322	26419	26074	27553	19491	14557
