rank_emul	rank_star	rank_outdeg	rank_tweet	pagerank	sumMnei
928	952	1568	6306	1389	5768
929	594	387	758	761	268
930	848	1233	2952	1166	2365
931	1797	2498	7226	1296	2309
932	870	2183	7301	1532	7121
933	965	3720	12534	1983	11038
934	906	3248	496	1837	7018
935	4000	3073	8062	1919	8875
936	1077	3197	10835	1885	9914
937	1486	670	1504	1168	729
938	1053	1004	5668	1814	2011
939	1201	2750	5972	2026	4271
940	1047	3402	10510	2323	6318
941	1183	675	648	898	774
942	1117	2168	7770	1766	6858
943	1266	3714	11402	2264	10751
944	865	573	6114	283	632
945	973	2926	2926	1930	7224
946	1048	3958	7164	2327	11133
947	1606	3989	12096	2328	11241
948	1051	4071	6539	2330	11239
949	1050	4126	13412	2332	11282
950	1197	4116	10075	2331	11260
951	1181	998	11830	1605	948
952	573	702	643	1000	722
953	611	504	770	1105	365
954	1080	1057	6196	779	1345
955	1872	634	5268	1449	529
956	2204	942	9625	1251	1032
957	1240	3292	9474	1382	9927
958	1312	1399	13313	744	2613
959	1179	1928	4484	1747	4603
960	1281	427	5516	680	413
961	873	598	2280	728	463
962	1035	3191	12740	2072	8976
963	4254	1023	6039	1357	2255
964	648	535	457	590	514
965	974	1263	9765	994	3076
966	1532	1913	10693	1813	7612
967	1045	3601	7416	2316	9622
968	1982	1664	10478	1080	7111
969	999	2836	11392	1780	9873
970	2189	2150	9490	2317	5037
971	1457	442	8284	1004	330
972	1198	2680	10720	523	4562
973	2349	2176	5537	1733	8100
974	419	873	101	1550	1179
975	1426	754	7676	936	732
976	1509	4125	8022	2580	10842
977	1439	2993	8396	1913	10021
978	1030	3602	1067	2366	10285
979	1214	566	5182	952	519
980	1010	2480	8541	614	7877
981	1219	2097	12156	1309	6217
982	1659	761	6353	1149	843
983	735	721	376	1244	777
984	948	764	144	973	680
985	914	1688	3252	1736	2202
