rank_emul	rank_star	rank_outdeg	rank_tweet
1281	1235	795	6253
1282	816	929	835
1283	1653	3036	2506
1284	1484	3694	7274
1285	1233	2856	13297
1286	2598	713	5943
1287	2108	2565	5403
1288	2434	628	6611
1289	396	462	92
1290	1414	3411	10609
1291	998	970	4054
1292	1074	2966	9642
1293	1288	2535	9942
1294	985	2356	8507
1295	1938	1200	6946
1296	3539	798	5347
1297	1706	2992	10691
1298	2445	694	377
1299	1460	2618	10138
1300	1171	3088	6602
1301	1727	680	6958
1302	1876	1543	7506
1303	2167	679	3499
1304	4551	714	3264
1305	2481	829	6192
1306	1854	623	708
1307	1775	4640	11820
1308	1086	819	337
1309	1685	3394	12323
1310	1621	5157	9202
1311	1847	1055	3259
1312	1744	1325	8547
1313	1421	1954	6471
1314	1301	685	2736
1315	1572	5235	9301
1316	1413	5246	6536
1317	1863	2456	8083
1318	4112	1445	3810
1319	629	1048	7344
1320	1428	3946	12028
1321	1470	477	107
1322	1284	1804	5714
1323	1900	2689	13519
1324	815	674	572
1325	1188	544	420
1326	1567	1777	7361
1327	1116	739	1096
1328	1483	2098	7233
1329	1911	4129	13441
1330	1215	2830	8751
1331	923	848	1680
1332	2271	2012	7791
1333	4634	879	9900
1334	1857	2030	9938
1335	1090	938	1814
1336	412	689	226
1337	1522	4544	7593
1338	1464	3919	10139
1339	1909	3304	7721
1340	1500	891	10949
1341	1418	3726	10628
1342	1627	1819	3462
1343	1544	2667	9848
1344	1359	616	3959
1345	5048	4021	9160
1346	1314	610	2303
1347	1679	4576	7978
1348	1677	2023	710
1349	1738	4076	12519
1350	1145	1667	13012
1351	1481	2266	5209
1352	1531	3747	13373
1353	1427	3014	13390
1354	2583	5293	11632
1355	1709	1115	4993
1356	551	455	506
1357	2562	4404	4127
1358	1565	3631	9567
1359	1787	1291	162
1360	1220	2962	6484
1361	1575	3375	10311
1362	2194	1925	955
1363	1785	2348	5788
1364	2224	1711	8381
1365	1932	2960	8214
1366	1237	3998	5518
1367	1310	1971	8893
1368	2586	4989	12035
1369	1582	3008	13077
1370	1789	1007	3466
1371	2367	3702	11305
1372	1578	627	729
1373	1004	1012	3759
1374	1624	4606	10645
1375	1586	700	2405
1376	1504	1308	6561
1377	1862	912	1610
1378	1588	5358	13407
1379	299	444	93
1380	1360	3200	13088
1381	1894	4123	13312
1382	1778	4527	7008
1383	989	1112	538
1384	1505	4609	9943
1385	581	820	287
1386	1935	3965	12055
1387	1445	3921	5292
1388	1650	3410	11466
1389	1568	2280	9272
1390	6134	4194	7683
1391	1817	4662	10082
1392	823	846	175
1393	1180	1270	308
1394	1664	3733	11698
1395	2097	2174	9650
1396	1837	1250	757
1397	1583	3699	11252
1398	539	510	997
